lon;lat
-4.371179;40.171821
-4.371179;40.206133
-4.371179;40.240427
-4.371179;40.274705
-4.371179;40.308965
-4.371179;40.343207
-4.371179;40.377432
-4.371179;40.411640
-4.371179;40.445831
-4.371179;40.480004
-4.371179;40.514160
-4.371179;40.548298
-4.371179;40.582419
-4.371179;40.616522
-4.371179;40.650608
-4.371179;40.684677
-4.371179;40.718728
-4.371179;40.752762
-4.371179;40.786779
-4.371179;40.820778
-4.371179;40.854760
-4.371179;40.888724
-4.371179;40.922671
-4.371179;40.956600
-4.371179;40.990512
-4.326264;40.000000
-4.326264;40.034399
-4.326264;40.068780
-4.326264;40.103144
-4.326264;40.137491
-4.326264;40.171821
-4.326264;40.206133
-4.326264;40.240427
-4.326264;40.274705
-4.326264;40.308965
-4.326264;40.343207
-4.326264;40.377432
-4.326264;40.411640
-4.326264;40.445831
-4.326264;40.480004
-4.326264;40.514160
-4.326264;40.548298
-4.326264;40.582419
-4.326264;40.616522
-4.326264;40.650608
-4.326264;40.684677
-4.326264;40.718728
-4.326264;40.752762
-4.326264;40.786779
-4.326264;40.820778
-4.326264;40.854760
-4.326264;40.888724
-4.326264;40.922671
-4.326264;40.956600
-4.326264;40.990512
-4.281348;40.000000
-4.281348;40.034399
-4.281348;40.068780
-4.281348;40.103144
-4.281348;40.137491
-4.281348;40.171821
-4.281348;40.206133
-4.281348;40.240427
-4.281348;40.274705
-4.281348;40.308965
-4.281348;40.343207
-4.281348;40.377432
-4.281348;40.411640
-4.281348;40.445831
-4.281348;40.480004
-4.281348;40.514160
-4.281348;40.548298
-4.281348;40.582419
-4.281348;40.616522
-4.281348;40.650608
-4.281348;40.684677
-4.281348;40.718728
-4.281348;40.752762
-4.281348;40.786779
-4.281348;40.820778
-4.281348;40.854760
-4.281348;40.888724
-4.281348;40.922671
-4.281348;40.956600
-4.281348;40.990512
-4.236432;40.000000
-4.236432;40.034399
-4.236432;40.068780
-4.236432;40.103144
-4.236432;40.137491
-4.236432;40.171821
-4.236432;40.206133
-4.236432;40.240427
-4.236432;40.274705
-4.236432;40.308965
-4.236432;40.343207
-4.236432;40.377432
-4.236432;40.411640
-4.236432;40.445831
-4.236432;40.480004
-4.236432;40.514160
-4.236432;40.548298
-4.236432;40.582419
-4.236432;40.616522
-4.236432;40.650608
-4.236432;40.684677
-4.236432;40.718728
-4.236432;40.752762
-4.236432;40.786779
-4.236432;40.820778
-4.236432;40.854760
-4.236432;40.888724
-4.236432;40.922671
-4.236432;40.956600
-4.236432;40.990512
-4.191516;40.000000
-4.191516;40.034399
-4.191516;40.068780
-4.191516;40.103144
-4.191516;40.137491
-4.191516;40.171821
-4.191516;40.206133
-4.191516;40.240427
-4.191516;40.274705
-4.191516;40.308965
-4.191516;40.343207
-4.191516;40.377432
-4.191516;40.411640
-4.191516;40.445831
-4.191516;40.480004
-4.191516;40.514160
-4.191516;40.548298
-4.191516;40.582419
-4.191516;40.616522
-4.191516;40.650608
-4.191516;40.684677
-4.191516;40.718728
-4.191516;40.752762
-4.191516;40.786779
-4.191516;40.820778
-4.191516;40.854760
-4.191516;40.888724
-4.191516;40.922671
-4.191516;40.956600
-4.191516;40.990512
-4.146600;40.000000
-4.146600;40.034399
-4.146600;40.068780
-4.146600;40.103144
-4.146600;40.137491
-4.146600;40.171821
-4.146600;40.206133
-4.146600;40.240427
-4.146600;40.274705
-4.146600;40.308965
-4.146600;40.343207
-4.146600;40.377432
-4.146600;40.411640
-4.146600;40.445831
-4.146600;40.480004
-4.146600;40.514160
-4.146600;40.548298
-4.146600;40.582419
-4.146600;40.616522
-4.146600;40.650608
-4.146600;40.684677
-4.146600;40.718728
-4.146600;40.752762
-4.146600;40.786779
-4.146600;40.820778
-4.146600;40.854760
-4.146600;40.888724
-4.146600;40.922671
-4.146600;40.956600
-4.146600;40.990512
-4.101685;40.000000
-4.101685;40.034399
-4.101685;40.068780
-4.101685;40.103144
-4.101685;40.137491
-4.101685;40.171821
-4.101685;40.206133
-4.101685;40.240427
-4.101685;40.274705
-4.101685;40.308965
-4.101685;40.343207
-4.101685;40.377432
-4.101685;40.411640
-4.101685;40.445831
-4.101685;40.480004
-4.101685;40.514160
-4.101685;40.548298
-4.101685;40.582419
-4.101685;40.616522
-4.101685;40.650608
-4.101685;40.684677
-4.101685;40.718728
-4.101685;40.752762
-4.101685;40.786779
-4.101685;40.820778
-4.101685;40.854760
-4.101685;40.888724
-4.101685;40.922671
-4.101685;40.956600
-4.101685;40.990512
-4.056769;40.000000
-4.056769;40.034399
-4.056769;40.068780
-4.056769;40.103144
-4.056769;40.137491
-4.056769;40.171821
-4.056769;40.206133
-4.056769;40.240427
-4.056769;40.274705
-4.056769;40.308965
-4.056769;40.343207
-4.056769;40.377432
-4.056769;40.411640
-4.056769;40.445831
-4.056769;40.480004
-4.056769;40.514160
-4.056769;40.548298
-4.056769;40.582419
-4.056769;40.616522
-4.056769;40.650608
-4.056769;40.684677
-4.056769;40.718728
-4.056769;40.752762
-4.056769;40.786779
-4.056769;40.820778
-4.056769;40.854760
-4.056769;40.888724
-4.056769;40.922671
-4.056769;40.956600
-4.056769;40.990512
-4.011853;40.000000
-4.011853;40.034399
-4.011853;40.068780
-4.011853;40.103144
-4.011853;40.137491
-4.011853;40.171821
-4.011853;40.206133
-4.011853;40.240427
-4.011853;40.274705
-4.011853;40.308965
-4.011853;40.343207
-4.011853;40.377432
-4.011853;40.411640
-4.011853;40.445831
-4.011853;40.480004
-4.011853;40.514160
-4.011853;40.548298
-4.011853;40.582419
-4.011853;40.616522
-4.011853;40.650608
-4.011853;40.684677
-4.011853;40.718728
-4.011853;40.752762
-4.011853;40.786779
-4.011853;40.820778
-4.011853;40.854760
-4.011853;40.888724
-4.011853;40.922671
-4.011853;40.956600
-4.011853;40.990512
